id,partisan_score
824343252,0.043
1005675566,-0.884
41441006,0.971
712852032,NA
131056491,-0.855
410572471,-1
298619241,-0.692
7.17E+17,NA
161452409,0.709
394245906,-1
110228223,-0.902
387164450,-0.887
19362433,0.697
250843549,-0.854
4700669963,-1
247012981,-0.896
7.20E+17,NA
2763527634,-1
1598812760,-0.865
1393338992,NA
1210098278,-0.6
100534368,-1
535833722,-1
438897163,-0.893
2414913756,-0.567
31497743,NA
631633650,-0.667
7.57E+17,NA
35729673,-0.77
341805227,-1
274902685,NA
16384055,-0.723
9.26E+17,NA
