"id","partisan_score","misinfo_score","misinfo_score_weighted"
1040406517,1,0.856,0.803
7.97e+17,NA,NA,NA
2920097591,NA,NA,NA
31488601,-0.143,0.574,0.571
123653999,1,0.87,0.896
277431039,0.926,0.727,0.723
7.41e+17,NA,NA,NA
20435808,0.942,0.69,0.679
192012830,0.818,0.715,0.774
158064102,1,0.739,0.717
25300825,0.957,0.663,0.668
189806241,-0.655,0.413,0.399
586138753,1,0.861,0.905
1881202848,1,0.778,0.766
21457771,-1,0.443,0.402
3194453820,1,0.681,0.672
16039269,0.765,0.635,0.657
1219980564,1,0.866,0.942
351499769,1,0.905,0.981
235124996,1,0.655,0.702
1020301946,1,1.067,1.067
3413287791,0.833,0.693,0.692
2881352764,0.818,0.704,0.734
2938248509,0.75,0.649,0.63
3639078270,NA,NA,NA
527372536,0.455,0.634,0.556
173072489,0.5,0.612,0.652
894085897,1,0.698,0.709
143456066,-0.714,0.498,0.49
158123632,0,0.365,0.291
286973799,-0.333,0.559,0.52
1967288077,1,0.835,0.868
302730365,1,0.766,0.759
445191394,1,0.712,0.74
1494968155,NA,0.95,0.95
472786421,1,0.674,0.625
84043874,-1,0.462,0.441
2580626647,1,0.72,0.725
9.14e+17,NA,NA,NA
127172043,1,0.513,0.632
557468072,0.734,0.587,0.582
7.48e+17,NA,NA,NA
1105417668,0.486,0.632,0.666
186187157,0.667,0.802,0.833
3689308343,1,0.729,0.66
716055577,1,0.731,0.743
7.03e+17,NA,NA,NA
4268670137,1,0.704,0.679
815871284,-0.878,0.473,0.468
46637282,-0.333,0.595,0.651
15347644,-0.373,0.446,0.461
70300794,0.429,0.565,0.497
9.97e+17,NA,NA,NA
7.66e+17,NA,NA,NA
636681947,1,0.513,0.511
597297885,1,0.93,0.856
228109019,0.846,0.679,0.683
57292184,NA,0.84,0.84
3271255423,0.829,0.635,0.628
308321267,0,0.511,0.483
8.4e+17,NA,NA,NA
7.14e+17,NA,NA,NA
32822134,0.971,0.675,0.631
